img,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,obj1shape, obj1color,obj1pattern,obj2shape, obj2color,obj2pattern,obj3shape, obj3color,obj3pattern
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0008.jpg,striped,blue,dotted,green,pattern,color,1,1,1,cloud,blue,striped,cloud,green,dotted,cloud,green,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0009.jpg,square,blue,circle,green,shape,color,1,1,3,circle,green,solid,circle,green,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0010.jpg,blue,striped,green,dotted,color,pattern,1,1,1,cloud,blue,striped,cloud,green,dotted,cloud,green,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0011.jpg,dotted,blue,striped,green,pattern,color,1,1,1,cloud,blue,dotted,cloud,green,striped,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0012.jpg,dotted,green,striped,blue,pattern,color,1,1,3,cloud,blue,striped,cloud,blue,striped,cloud,green,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0013.jpg,striped,square,dotted,circle,pattern,shape,1,1,1,square,red,striped,circle,red,dotted,circle,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0014.jpg,green,circle,blue,square,color,shape,1,1,2,square,blue,solid,circle,green,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0015.jpg,square,striped,circle,dotted,shape,pattern,1,1,2,circle,red,dotted,square,red,striped,circle,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0016.jpg,striped,blue,dotted,green,pattern,color,1,1,2,cloud,green,dotted,cloud,blue,striped,cloud,green,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0017.jpg,blue,dotted,green,striped,color,pattern,1,1,1,cloud,blue,dotted,cloud,green,striped,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0018.jpg,circle,striped,square,dotted,shape,pattern,1,1,2,square,red,dotted,circle,red,striped,square,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0019.jpg,square,blue,circle,green,shape,color,1,1,1,square,blue,solid,circle,green,solid,circle,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0020.jpg,green,striped,blue,dotted,color,pattern,1,1,1,cloud,green,striped,cloud,blue,dotted,cloud,blue,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0021.jpg,striped,green,dotted,blue,pattern,color,1,1,3,cloud,blue,dotted,cloud,blue,dotted,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0022.jpg,circle,striped,square,dotted,shape,pattern,1,1,3,square,red,dotted,square,red,dotted,circle,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0023.jpg,square,striped,circle,dotted,shape,pattern,1,1,3,circle,red,dotted,circle,red,dotted,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0024.jpg,dotted,square,striped,circle,pattern,shape,1,1,1,square,red,dotted,circle,red,striped,circle,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0025.jpg,blue,dotted,green,striped,color,pattern,1,1,1,cloud,blue,dotted,cloud,green,striped,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0026.jpg,circle,dotted,square,striped,shape,pattern,1,1,2,square,red,striped,circle,red,dotted,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0027.jpg,dotted,green,striped,blue,pattern,color,1,1,2,cloud,blue,striped,cloud,green,dotted,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0028.jpg,square,dotted,circle,striped,shape,pattern,1,1,3,circle,red,striped,circle,red,striped,square,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0029.jpg,striped,green,dotted,blue,pattern,color,1,1,1,cloud,green,striped,cloud,blue,dotted,cloud,blue,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0030.jpg,blue,square,green,circle,color,shape,1,1,3,circle,green,solid,circle,green,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0031.jpg,blue,striped,green,dotted,color,pattern,1,1,3,cloud,green,dotted,cloud,green,dotted,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0032.jpg,blue,striped,green,dotted,color,pattern,1,1,1,cloud,blue,striped,cloud,green,dotted,cloud,green,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0033.jpg,square,striped,circle,dotted,shape,pattern,1,1,3,circle,red,dotted,circle,red,dotted,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0034.jpg,dotted,green,striped,blue,pattern,color,1,1,2,cloud,blue,striped,cloud,green,dotted,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0035.jpg,blue,circle,green,square,color,shape,1,1,3,square,green,solid,square,green,solid,circle,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0036.jpg,green,dotted,blue,striped,color,pattern,1,1,1,cloud,green,dotted,cloud,blue,striped,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0037.jpg,green,dotted,blue,striped,color,pattern,1,1,1,cloud,green,dotted,cloud,blue,striped,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0038.jpg,striped,circle,dotted,square,pattern,shape,1,1,2,square,red,dotted,circle,red,striped,square,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0039.jpg,striped,square,dotted,circle,pattern,shape,1,1,2,circle,red,dotted,square,red,striped,circle,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0040.jpg,square,dotted,circle,striped,shape,pattern,1,1,1,square,red,dotted,circle,red,striped,circle,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0041.jpg,green,dotted,blue,striped,color,pattern,1,1,1,cloud,green,dotted,cloud,blue,striped,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0042.jpg,blue,square,green,circle,color,shape,1,1,1,square,blue,solid,circle,green,solid,circle,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0043.jpg,green,circle,blue,square,color,shape,1,1,3,square,blue,solid,square,blue,solid,circle,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0044.jpg,green,square,blue,circle,color,shape,1,1,1,square,green,solid,circle,blue,solid,circle,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0045.jpg,green,dotted,blue,striped,color,pattern,1,1,2,cloud,blue,striped,cloud,green,dotted,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0046.jpg,dotted,circle,striped,square,pattern,shape,1,1,3,square,red,striped,square,red,striped,circle,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0047.jpg,green,dotted,blue,striped,color,pattern,1,1,3,cloud,blue,striped,cloud,blue,striped,cloud,green,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0048.jpg,circle,green,square,blue,shape,color,1,1,2,square,blue,solid,circle,green,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0049.jpg,square,green,circle,blue,shape,color,1,1,2,circle,blue,solid,square,green,solid,circle,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond6-img0050.jpg,blue,circle,green,square,color,shape,1,1,2,square,green,solid,circle,blue,solid,square,green,solid
